volcano,volcanoLabel,latitude,longitude
http://www.wikidata.org/entity/Q1623902,Hoher Hagen,51.4752,9.76457
http://www.wikidata.org/entity/Q1648022,Vulcano,38.404,14.962
http://www.wikidata.org/entity/Q1623797,Hohenseelbachs-Kopf,50.75909722,7.98652778
http://www.wikidata.org/entity/Q1586649,Yate,-41.754722222222,-72.396388888889
http://www.wikidata.org/entity/Q1751428,Prometheus,-1.52,153.94
http://www.wikidata.org/entity/Q1320267,Pele,-18.71,255.28
http://www.wikidata.org/entity/Q1781665,Mont Marion-Dufresne,-46.416388888889,52.256944444444
http://www.wikidata.org/entity/Q1373738,Mount Suribachi,24.749030555556,141.28778333333
http://www.wikidata.org/entity/Q1894467,Marduk,-29.64,209.9
http://www.wikidata.org/entity/Q1673747,Mount Isarog,13.659166666667,123.37333333333
http://www.wikidata.org/entity/Q1641276,Quilotoa,-0.86119444444444,-78.897286111111
http://www.wikidata.org/entity/Q1347484,Merelava,-14.463936111111,168.03829166667
http://www.wikidata.org/entity/Q1575468,Volcán San Pedro,14.655833333333,-91.265833333333
http://www.wikidata.org/entity/Q1880965,Volcán Tolimán,14.6125,-91.189166666667
http://www.wikidata.org/entity/Q1790653,Cerro Bayo Complex,-25.416666666667,-68.583333333333
http://www.wikidata.org/entity/Q1945447,Mont Ross,-49.6,69.5
http://www.wikidata.org/entity/Q1330927,Puracé,2.3141666666667,-76.394166666667
http://www.wikidata.org/entity/Q1417843,Hanish Islands,13.75,42.75
http://www.wikidata.org/entity/Q1473902,Sapas Mons,8.5,188.3
http://www.wikidata.org/entity/Q1827535,Poike,-27.105322222222,-109.25505
http://www.wikidata.org/entity/Q1340711,Mehetia,-17.866666666667,-148.06666666667
http://www.wikidata.org/entity/Q1361324,Socorro Island,18.784444444444,-110.975
http://www.wikidata.org/entity/Q1413846,Hengill,64.085555555556,-21.313611111111
http://www.wikidata.org/entity/Q1800511,Laguna Aramuaca,13.428055555556,-88.105
http://www.wikidata.org/entity/Q1551586,Grímsnes,64.036666666667,-20.889444444444
http://www.wikidata.org/entity/Q1424979,Alcedo Volcano,-0.396583,-91.109104
http://www.wikidata.org/entity/Q1573932,Tau,-14.31778,-170.72806
http://www.wikidata.org/entity/Q1866824,Ljósufjöll,64.9143781024,-22.5859061356
http://www.wikidata.org/entity/Q1550157,Late,-18.8,-174.65
